通路步骤	KO	ZN65基因	位置	链
DFR 二氢黄酮醇4还原酶	K13082	ZN651G2772	Chr1:27075322-27077300	+
DFR 二氢黄酮醇4还原酶	K13082	ZN656G3045	Chr6:29960120-29962099	-
DFR 二氢黄酮醇4还原酶	K13082	ZN657G2555	Chr7:25688615-25690914	+
DFR 二氢黄酮醇4还原酶	K13082	ZN657G2581	Chr7:25837251-25839502	-
DFR 二氢黄酮醇4还原酶	K13082	ZN657G2582	Chr7:25840516-25846126	-
DFR 二氢黄酮醇4还原酶	K13082	ZN658G2517	Chr8:27076541-27078140	-
ANS/LDOX 花色素合酶	K05277	ZN651G1778	Chr1:15900232-15901825	-
ANS/LDOX 花色素合酶	K05277	ZN6510G2277	Chr10:24592311-24593891	-
ANS/LDOX 花色素合酶	K05277	ZN652G3429	Chr2:31708527-31711284	+
ANS/LDOX 花色素合酶	K05277	ZN655G0226	Chr5:1617001-1623187	-
ANS/LDOX 花色素合酶	K05277	ZN656G2674	Chr6:26699563-26701457	-
UFGT/3GT 花色素3-O-葡糖基转移酶	K12930	ZN656G0641	Chr6:4547974-4549543	+
UFGT/3GT 花色素3-O-葡糖基转移酶	K12930	ZN657G0344	Chr7:2837474-2839103	+
UFGT/3GT 花色素3-O-葡糖基转移酶	K12930	ZN658G0964	Chr8:9286934-9287254	+
LAR 无色花色素还原酶	K13081	ZN653G1214	Chr3:8746137-8747580	-
ANR 花色素还原酶	K08695	ZN6510G1693	Chr10:20267641-20272450	-
ANR 花色素还原酶	K08695	ZN654G3254	Chr4:32459602-32462224	+
ANR 花色素还原酶	K08695	ZN654G3255	Chr4:32463620-32466487	+
ANR 花色素还原酶	K08695	ZN654G3256	Chr4:32467758-32469913	+
ANR 花色素还原酶	K08695	ZN654G3258	Chr4:32482617-32492935	+
ANR 花色素还原酶	K08695	ZN654G3260	Chr4:32497270-32500075	+
ANR 花色素还原酶	K08695	ZN654G3261	Chr4:32502566-32504835	+
ANR 花色素还原酶	K08695	ZN654G3262	Chr4:32508948-32512335	+
ANR 花色素还原酶	K08695	ZN656G2819	Chr6:28074276-28080382	-
ANR 花色素还原酶	K08695	ZN659G1954	Chr9:21611621-21631291	-
FLS 黄酮醇合酶	K05278	ZN651G1686	Chr1:14623124-14626330	+
FLS 黄酮醇合酶	K05278	ZN651G4097	Chr1:37262879-37267830	+
FLS 黄酮醇合酶	K05278	ZN6510G2047	Chr10:22836152-22839236	+
FLS 黄酮醇合酶	K05278	ZN6510G2049	Chr10:22846216-22850350	+
FLS 黄酮醇合酶	K05278	ZN6510G2127	Chr10:23464331-23470741	+
FLS 黄酮醇合酶	K05278	ZN6510G2276	Chr10:24589509-24591136	-
FLS 黄酮醇合酶	K05278	ZN6510G2280	Chr10:24615352-24618108	-
FLS 黄酮醇合酶	K05278	ZN6510G2282	Chr10:24619856-24623535	-
FLS 黄酮醇合酶	K05278	ZN652G1597	Chr2:13350724-13352372	+
FLS 黄酮醇合酶	K05278	ZN652G3799	Chr2:34215545-34216930	-
FLS 黄酮醇合酶	K05278	ZN653G1469	Chr3:10405214-10410817	-
FLS 黄酮醇合酶	K05278	ZN654G2868	Chr4:29575917-29577997	-
FLS 黄酮醇合酶	K05278	ZN654G3525	Chr4:34294613-34298041	+
FLS 黄酮醇合酶	K05278	ZN656G0444	Chr6:3073667-3075818	+
FLS 黄酮醇合酶	K05278	ZN656G0551	Chr6:3804683-3806978	+
FLS 黄酮醇合酶	K05278	ZN658G2245	Chr8:25260802-25264436	-
FLS 黄酮醇合酶	K05278	ZN659G1024	Chr9:13022400-13025226	+
FLS 黄酮醇合酶	K05278	ZN659G1026	Chr9:13037771-13039416	+
FLS 黄酮醇合酶	K05278	ZN659G1028	Chr9:13047077-13049745	+
COMT/咖啡酸甲基转移酶	K00588	ZN656G0471	Chr6:3249575-3250915	+
COMT/咖啡酸甲基转移酶	K00588	ZN659G1877	Chr9:21074438-21075834	-
